schcd,schname,school_cat,management,rururb,dtname,longitude,latitude
29170530801,"Ghps,Chattanahalli",Primary with Upper Primary,Department of Education,1,Chikkamangaluru,76.206085,13.471024
29290418601,Glps Kanagamakalahalli,Primary,Department of Education,1,Chikkaballapura,78.151944,13.471111
29310304102,Mahalakshmi Higher Primary And Secondary School Goravanahalli,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized),1,Tumakuru Madhugiri,77.281111,13.471389
29160506501,Ghps Gundmi,Primary with Upper Primary,Department of Education,2,Udupi,74.713333,13.471944
29290404601,Glps  Bodigundlapalli,Primary,Department of Education,1,Chikkaballapura,78.2,13.471944
29310303903,Govt Pre University College Theetha,Higher Secondary only/Jr. College,Department of Education,1,Tumakuru Madhugiri,77.289562,13.47198
29160202907,Apuc St.L. Moodubelle,Secondary with Higher Secondary,Government Aided,1,Udupi,75.313,13.472
29170613409,Veda Vignana Gurukula English Medium School,Primary,Private Unaided (Recognized),2,Chikkamangaluru,75.575,13.472
29180120802,Glps Salkatte Thandya,Primary,Department of Education,1,Tumakuru,76.602,13.472
29310303902,Vani Vidya Samithi Aided High School Theetha,Secondary Only,Government Aided,1,Tumakuru Madhugiri,77.289,13.472
29210101305,Sri Rajarajeshwari Pub.School,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized),1,Bengaluru Rural,77.44,13.472
29291121002,Government High School Palicherlu,Secondary Only,Department of Education,1,Chikkaballapura,77.905,13.472
29191223402,Glps Beedaganahalli,Primary,Department of Education,1,Kolar,78.28,13.472
29230720302,Govt High School  Doddakondagula,Secondary Only,Department of Education,1,Hassan,76.113056,13.47222
29230735201,Govt Lower Primary School Kalathammanahally,Primary,Department of Education,1,Hassan,76.6389,13.47222
29291122501,Glps  Ropparlahalli,Primary,Department of Education,1,Chikkaballapura,77.953611,13.472222
29160506503,Ghs Gundmi,Secondary Only,Department of Education,2,Udupi,74.713333,13.4725
29310303901,Ghps  Theetha,Primary with Upper Primary,Department of Education,1,Tumakuru Madhugiri,77.289722,13.4725
29290432101,Ghps Siddepalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,78.087987,13.472623
29180911902,Glps Avalipalya,Primary,Department of Education,1,Tumakuru,77.142222,13.472778
29210200401,Ghps Banavathi,Primary with Upper Primary,Department of Education,1,Bengaluru Rural,77.390833,13.472778
29160502502,S M Ahps Aleya Naduru  576223,Primary with Upper Primary,Government Aided,1,Udupi,74.806,13.473
29160503101,Glps Kotambailu  576234,Primary,Department of Education,1,Udupi,74.851,13.473
29230523801,Govt.Higher Primary School K. Singenahalli,Primary with Upper Primary,Department of Education,1,Hassan,76.544,13.473
29180108501,Ghps Hosakere,Primary with Upper Primary,Department of Education,1,Tumakuru,76.572,13.473
29180111901,Glps Lakmena Halli,Primary,Department of Education,1,Tumakuru,76.613,13.473
29180932901,Glps Kalsatkunte,Primary,Department of Education,1,Tumakuru,77.089,13.473
29310315101,Glps  Chikkasaggere,Primary,Department of Education,1,Tumakuru Madhugiri,77.341,13.473
29200314506,Genius Global School,Primary with Upper Primary,Private Unaided (Recognized),2,Bengaluru U South,78.202,13.473
29210200404,G Lps Singrayyanapalya,Primary,Department of Education,1,Bengaluru Rural,77.398889,13.473056
29290410801,Glps Dwarapalli,Primary,Department of Education,1,Chikkaballapura,78.024722,13.473056
29291108801,Glps . Gangapura,Primary,Department of Education,1,Chikkaballapura,77.943611,13.473333
29310315601,Glps  Polenahalli,Primary,Department of Education,1,Tumakuru Madhugiri,77.356944,13.473611
29290403101,Glps Bathalahalli,Primary,Department of Education,1,Chikkaballapura,78.116667,13.473611
29290433601,Glps Thammepalli,Primary,Department of Education,1,Chikkaballapura,78.32778,13.473611
29180219901,Glps Sorekaayipente,Primary,Department of Education,1,Tumakuru,76.966667,13.473889
29160502603,Vishwajnana Ahps Mundadi,Primary with Upper Primary,Government Aided,1,Udupi,74.832,13.474
29160102002,Glps Padibettu - Shirlal,Primary,Department of Education,1,Udupi,75.105,13.474
29170202105,Glps Honagodu,Primary,Department of Education,1,Chikkamangaluru,75.3,13.474
29180108202,Glps Ankasandra Gollarahatti,Primary,Department of Education,1,Tumakuru,76.542,13.474
29180120801,Ghps Salkatte,Primary with Upper Primary,Department of Education,1,Tumakuru,76.605,13.474
29310305401,Ghps  Kereyagalahalli,Primary with Upper Primary,Department of Education,1,Tumakuru Madhugiri,77.249,13.474
29290520402,Ghps Sadenahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.602,13.474
29290310001,Ghps Hiriyannahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.81875,13.47414
29170818401,G.L.P.S. Byadarahalli,Primary,Department of Education,1,Chikkamangaluru,75.955278,13.474167
29280705308,Jagruthi Public School,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized),2,Bengaluru U North,77.508333,13.474444
29170601803,Glps Aravindanagar,Primary,Department of Education,1,Chikkamangaluru,75.810556,13.474722
29160501801,National Ahps Hanehalli  576210,Primary with Upper Primary,Government Aided,1,Udupi,74.768,13.475
29240307101,Sdpt Higher Primary School Kateel,Primary with Upper Primary,Government Aided,1,Dakshina Kannada,74.871667,13.475
29170700303,"Glps, Manninapalu",Primary,Department of Education,1,Chikkamangaluru,75.585,13.475
